,date,ron95,ron97,diesel,ron95_budi95,USD,index,state,division,Rate
2000,2017-04-01,2.13,2.41,2.11,2.13,4.4265,122.8,Johor,overall,3.0
2001,2017-04-01,2.13,2.41,2.11,2.13,4.4265,118.6,Kedah,overall,3.0
2002,2017-04-01,2.13,2.41,2.11,2.13,4.4265,118.724921755354,Kelantan,overall,3.0
2003,2017-04-01,2.13,2.41,2.11,2.13,4.4265,119.1,Melaka,overall,3.0
2004,2017-04-01,2.13,2.41,2.11,2.13,4.4265,120.0,Negeri Sembilan,overall,3.0
2005,2017-04-01,2.13,2.41,2.11,2.13,4.4265,117.8,Pahang,overall,3.0
2006,2017-04-01,2.13,2.41,2.11,2.13,4.4265,115.7,Perak,overall,3.0
2007,2017-04-01,2.13,2.41,2.11,2.13,4.4265,115.1,Perlis,overall,3.0
2008,2017-04-01,2.13,2.41,2.11,2.13,4.4265,120.5,Pulau Pinang,overall,3.0
2009,2017-04-01,2.13,2.41,2.11,2.13,4.4265,113.9,Sabah,overall,3.0
2010,2017-04-01,2.13,2.41,2.11,2.13,4.4265,115.9,Sarawak,overall,3.0
2011,2017-04-01,2.13,2.41,2.11,2.13,4.4265,121.0,Selangor,overall,3.0
2012,2017-04-01,2.13,2.41,2.11,2.13,4.4265,115.9,Terengganu,overall,3.0
2013,2017-04-01,2.13,2.41,2.11,2.13,4.4265,119.5,W.P. Kuala Lumpur,overall,3.0
2014,2017-04-01,2.13,2.41,2.11,2.13,4.4265,117.5,W.P. Labuan,overall,3.0
2015,2017-04-01,2.13,2.41,2.11,2.13,4.4265,118.6,W.P. Putrajaya,overall,3.0
2035,2017-05-01,2.21,2.49,2.14,2.21,4.3475,122.3,Johor,overall,3.0
2036,2017-05-01,2.21,2.49,2.14,2.21,4.3475,118.3,Kedah,overall,3.0
2037,2017-05-01,2.21,2.49,2.14,2.21,4.3475,118.6601173183,Kelantan,overall,3.0
2038,2017-05-01,2.21,2.49,2.14,2.21,4.3475,118.9,Melaka,overall,3.0
2039,2017-05-01,2.21,2.49,2.14,2.21,4.3475,119.6,Negeri Sembilan,overall,3.0
2040,2017-05-01,2.21,2.49,2.14,2.21,4.3475,117.5,Pahang,overall,3.0
2041,2017-05-01,2.21,2.49,2.14,2.21,4.3475,115.4,Perak,overall,3.0
2042,2017-05-01,2.21,2.49,2.14,2.21,4.3475,114.8,Perlis,overall,3.0
2043,2017-05-01,2.21,2.49,2.14,2.21,4.3475,120.6,Pulau Pinang,overall,3.0
2044,2017-05-01,2.21,2.49,2.14,2.21,4.3475,113.7,Sabah,overall,3.0
2045,2017-05-01,2.21,2.49,2.14,2.21,4.3475,115.5,Sarawak,overall,3.0
2046,2017-05-01,2.21,2.49,2.14,2.21,4.3475,120.8,Selangor,overall,3.0
2047,2017-05-01,2.21,2.49,2.14,2.21,4.3475,115.7,Terengganu,overall,3.0
2048,2017-05-01,2.21,2.49,2.14,2.21,4.3475,119.6,W.P. Kuala Lumpur,overall,3.0
2049,2017-05-01,2.21,2.49,2.14,2.21,4.3475,117.2,W.P. Labuan,overall,3.0
2050,2017-05-01,2.21,2.49,2.14,2.21,4.3475,118.3,W.P. Putrajaya,overall,3.0
2072,2017-06-01,2.1,2.38,2.02,2.1,4.289,122.2,Johor,overall,3.0
