date,ron95,ron97,diesel,ron95_budi95,USD,index,state,division,Rate,fuel_pressure,inflation_pressure,fx_pressure,policy_pressure,raw_cfpi,cfpi,cfpi_trend,risk_flag
2017-04-01,2.13,2.41,2.11,2.13,4.4265,122.8,Johor,overall,3.0,,,,0,,,,
2017-04-01,2.13,2.41,2.11,2.13,4.4265,118.6,W.P. Putrajaya,overall,3.0,,,,0,,,,
2017-04-01,2.13,2.41,2.11,2.13,4.4265,117.5,W.P. Labuan,overall,3.0,,,,0,,,,
2017-04-01,2.13,2.41,2.11,2.13,4.4265,119.5,W.P. Kuala Lumpur,overall,3.0,,,,0,,,,
2017-04-01,2.13,2.41,2.11,2.13,4.4265,115.9,Terengganu,overall,3.0,,,,0,,,,
2017-04-01,2.13,2.41,2.11,2.13,4.4265,115.9,Sarawak,overall,3.0,,,,0,,,,
2017-04-01,2.13,2.41,2.11,2.13,4.4265,113.9,Sabah,overall,3.0,,,,0,,,,
2017-04-01,2.13,2.41,2.11,2.13,4.4265,120.5,Pulau Pinang,overall,3.0,,,,0,,,,
2017-04-01,2.13,2.41,2.11,2.13,4.4265,121.0,Selangor,overall,3.0,,,,0,,,,
2017-04-01,2.13,2.41,2.11,2.13,4.4265,115.7,Perak,overall,3.0,,,,0,,,,
2017-04-01,2.13,2.41,2.11,2.13,4.4265,117.8,Pahang,overall,3.0,,,,0,,,,
2017-04-01,2.13,2.41,2.11,2.13,4.4265,120.0,Negeri Sembilan,overall,3.0,,,,0,,,,
2017-04-01,2.13,2.41,2.11,2.13,4.4265,119.1,Melaka,overall,3.0,,,,0,,,,
2017-04-01,2.13,2.41,2.11,2.13,4.4265,118.724921755354,Kelantan,overall,3.0,,,,0,,,,
2017-04-01,2.13,2.41,2.11,2.13,4.4265,118.6,Kedah,overall,3.0,,,,0,,,,
2017-04-01,2.13,2.41,2.11,2.13,4.4265,115.1,Perlis,overall,3.0,,,,0,,,,
2017-05-01,2.21,2.49,2.14,2.21,4.3475,113.7,Sabah,overall,3.0,,,,0,,,,
2017-05-01,2.21,2.49,2.14,2.21,4.3475,118.3,W.P. Putrajaya,overall,3.0,,,,0,,,,
2017-05-01,2.21,2.49,2.14,2.21,4.3475,117.2,W.P. Labuan,overall,3.0,,,,0,,,,
2017-05-01,2.21,2.49,2.14,2.21,4.3475,119.6,W.P. Kuala Lumpur,overall,3.0,,,,0,,,,
2017-05-01,2.21,2.49,2.14,2.21,4.3475,115.7,Terengganu,overall,3.0,,,,0,,,,
2017-05-01,2.21,2.49,2.14,2.21,4.3475,115.5,Sarawak,overall,3.0,,,,0,,,,
2017-05-01,2.21,2.49,2.14,2.21,4.3475,120.6,Pulau Pinang,overall,3.0,,,,0,,,,
2017-05-01,2.21,2.49,2.14,2.21,4.3475,120.8,Selangor,overall,3.0,,,,0,,,,
2017-05-01,2.21,2.49,2.14,2.21,4.3475,115.4,Perak,overall,3.0,,,,0,,,,
2017-05-01,2.21,2.49,2.14,2.21,4.3475,117.5,Pahang,overall,3.0,,,,0,,,,
2017-05-01,2.21,2.49,2.14,2.21,4.3475,119.6,Negeri Sembilan,overall,3.0,,,,0,,,,
2017-05-01,2.21,2.49,2.14,2.21,4.3475,118.9,Melaka,overall,3.0,,,,0,,,,
2017-05-01,2.21,2.49,2.14,2.21,4.3475,118.6601173183,Kelantan,overall,3.0,,,,0,,,,
2017-05-01,2.21,2.49,2.14,2.21,4.3475,118.3,Kedah,overall,3.0,,,,0,,,,
2017-05-01,2.21,2.49,2.14,2.21,4.3475,122.3,Johor,overall,3.0,,,,0,,,,
2017-05-01,2.21,2.49,2.14,2.21,4.3475,114.8,Perlis,overall,3.0,,,,0,,,,
2017-06-01,2.1,2.38,2.02,2.1,4.289,118.0,W.P. Putrajaya,overall,3.0,,,,0,,,,
2017-06-01,2.1,2.38,2.02,2.1,4.289,116.8,W.P. Labuan,overall,3.0,,,,0,,,,
2017-06-01,2.1,2.38,2.02,2.1,4.289,119.2,W.P. Kuala Lumpur,overall,3.0,,,,0,,,,
2017-06-01,2.1,2.38,2.02,2.1,4.289,115.6,Terengganu,overall,3.0,,,,0,,,,
2017-06-01,2.1,2.38,2.02,2.1,4.289,120.5,Selangor,overall,3.0,,,,0,,,,
2017-06-01,2.1,2.38,2.02,2.1,4.289,115.2,Sarawak,overall,3.0,,,,0,,,,
2017-06-01,2.1,2.38,2.02,2.1,4.289,113.4,Sabah,overall,3.0,,,,0,,,,
2017-06-01,2.1,2.38,2.02,2.1,4.289,120.3,Pulau Pinang,overall,3.0,,,,0,,,,
2017-06-01,2.1,2.38,2.02,2.1,4.289,114.5,Perlis,overall,3.0,,,,0,,,,
2017-06-01,2.1,2.38,2.02,2.1,4.289,117.2,Pahang,overall,3.0,,,,0,,,,
2017-06-01,2.1,2.38,2.02,2.1,4.289,119.3,Negeri Sembilan,overall,3.0,,,,0,,,,
2017-06-01,2.1,2.38,2.02,2.1,4.289,118.7,Melaka,overall,3.0,,,,0,,,,
2017-06-01,2.1,2.38,2.02,2.1,4.289,118.642493797859,Kelantan,overall,3.0,,,,0,,,,
2017-06-01,2.1,2.38,2.02,2.1,4.289,118.1,Kedah,overall,3.0,,,,0,,,,
2017-06-01,2.1,2.38,2.02,2.1,4.289,122.2,Johor,overall,3.0,,,,0,,,,
2017-06-01,2.1,2.38,2.02,2.1,4.289,115.1,Perak,overall,3.0,,,,0,,,,
2017-07-01,1.89,2.15,1.84,1.89,4.294,113.6,Sabah,overall,3.0,,,,0,,,,
2017-07-01,1.89,2.15,1.84,1.89,4.294,118.0,W.P. Putrajaya,overall,3.0,,,,0,,,,
2017-07-01,1.89,2.15,1.84,1.89,4.294,117.0,W.P. Labuan,overall,3.0,,,,0,,,,
2017-07-01,1.89,2.15,1.84,1.89,4.294,119.1,W.P. Kuala Lumpur,overall,3.0,,,,0,,,,
2017-07-01,1.89,2.15,1.84,1.89,4.294,115.8,Terengganu,overall,3.0,,,,0,,,,
2017-07-01,1.89,2.15,1.84,1.89,4.294,120.5,Selangor,overall,3.0,,,,0,,,,
2017-07-01,1.89,2.15,1.84,1.89,4.294,115.2,Sarawak,overall,3.0,,,,0,,,,
2017-07-01,1.89,2.15,1.84,1.89,4.294,120.4,Pulau Pinang,overall,3.0,,,,0,,,,
2017-07-01,1.89,2.15,1.84,1.89,4.294,118.6,Melaka,overall,3.0,,,,0,,,,
2017-07-01,1.89,2.15,1.84,1.89,4.294,115.2,Perak,overall,3.0,,,,0,,,,
2017-07-01,1.89,2.15,1.84,1.89,4.294,117.2,Pahang,overall,3.0,,,,0,,,,
2017-07-01,1.89,2.15,1.84,1.89,4.294,119.2,Negeri Sembilan,overall,3.0,,,,0,,,,
2017-07-01,1.89,2.15,1.84,1.89,4.294,114.1,Perlis,overall,3.0,,,,0,,,,
