,date,ron95,ron97,diesel,ron95_skps,series_type,ron95_budi95,diesel_eastmsia
0,2026-01-22,2.54,3.1,2.88,2.05,level,1.99,2.15
1,2026-01-15,2.52,3.08,2.84,2.05,level,1.99,2.15
2,2026-01-08,2.54,3.11,2.89,2.05,level,1.99,2.15
3,2026-01-01,2.56,3.16,2.94,2.05,level,1.99,2.15
4,2025-12-25,2.56,3.16,2.94,2.05,level,1.99,2.15
5,2025-12-18,2.62,3.24,3.02,2.05,level,1.99,2.15
6,2025-12-11,2.64,3.27,3.06,2.05,level,1.99,2.15
7,2025-12-04,2.66,3.29,3.08,2.05,level,1.99,2.15
8,2025-11-27,2.63,3.26,3.08,2.05,level,1.99,2.15
9,2025-11-20,2.65,3.28,3.1,2.05,level,1.99,2.15
10,2025-11-13,2.65,3.25,3.07,2.05,level,1.99,2.15
11,2025-11-06,2.6,3.2,3.02,2.05,level,1.99,2.15
12,2025-10-30,2.6,3.2,2.95,2.05,level,1.99,2.15
13,2025-10-23,2.6,3.14,2.89,2.05,level,1.99,2.15
14,2025-10-16,2.6,3.18,2.93,2.05,level,1.99,2.15
15,2025-10-09,2.6,3.18,2.93,2.05,level,1.99,2.15
16,2025-09-30,2.6,3.21,2.93,2.05,level,1.99,2.15
17,2025-09-25,2.05,3.21,2.93,,level,,2.15
18,2025-09-18,2.05,3.21,2.93,,level,,2.15
19,2025-09-11,2.05,3.18,2.9,,level,,2.15
20,2025-09-04,2.05,3.16,2.88,,level,,2.15
21,2025-08-28,2.05,3.16,2.88,,level,,2.15
22,2025-08-21,2.05,3.13,2.85,,level,,2.15
23,2025-08-14,2.05,3.13,2.9,,level,,2.15
24,2025-08-07,2.05,3.17,2.94,,level,,2.15
25,2025-07-31,2.05,3.17,2.91,,level,,2.15
26,2025-07-24,2.05,3.21,2.91,,level,,2.15
27,2025-07-17,2.05,3.21,2.91,,level,,2.15
28,2025-07-10,2.05,3.18,2.88,,level,,2.15
29,2025-07-03,2.05,3.18,2.85,,level,,2.15
30,2025-06-26,2.05,3.21,2.88,,level,,2.15
31,2025-06-19,2.05,3.14,2.81,,level,,2.15
32,2025-06-12,2.05,3.07,2.74,,level,,2.15
33,2025-06-05,2.05,3.07,2.74,,level,,2.15
34,2025-05-29,2.05,3.1,2.77,,level,,2.15
35,2025-05-22,2.05,3.1,2.8,,level,,2.15
36,2025-05-15,2.05,3.07,2.77,,level,,2.15
37,2025-05-08,2.05,3.1,2.8,,level,,2.15
38,2025-05-01,2.05,3.18,2.88,,level,,2.15
39,2025-04-24,2.05,3.18,2.88,,level,,2.15
40,2025-04-17,2.05,3.18,2.88,,level,,2.15
41,2025-04-10,2.05,3.28,2.98,,level,,2.15
42,2025-04-03,2.05,3.33,3.03,,level,,2.15
43,2025-03-27,2.05,3.28,3.03,,level,,2.15
