,class,group,digits,desc_bm,desc_en,division,subclass
0,-,-,1,Semua item,All items,overall,-
1,-,-,2,Makanan & Minuman,Food & Beverages,01,-
2,-,001,3,Makanan di luar rumah,Food away from home,01,-
3,0011,001,4,Makanan di luar rumah,Food away from home,01,-
4,0011,001,5,Makanan di luar rumah,Food away from home,01,00111
5,-,011,3,Makanan di rumah,Food at home,01,-
6,0111,011,4,Bijirin & produk bijirin,Cereals & cereal products,01,-
7,0111,011,5,Bijirin,Cereals,01,01111
8,0111,011,5,Tepung bijirin,Flour of cereals,01,01112
9,0111,011,5,Roti & produk bakeri,Bread & bakery products,01,01113
10,0111,011,5,Bijirin sarapan,Breakfast cereals,01,01114
11,0111,011,5,"Makaroni, mi & produk pasta","Macaroni, noodles & pasta products",01,01115
12,0112,011,4,Daging,Meat,01,-
13,0112,011,5,"Daging segar, disejukkan atau beku","Meat, fresh, chilled or frozen",01,01122
14,0112,011,5,"Organ dalaman segar, disejukkan atau beku","Offal fresh, chilled or frozen",01,01124
15,0112,011,5,Makanan tersedia dari daging dan organ dalaman,Food preparation from meat and offal,01,01125
16,0113,011,4,Ikan & makanan laut lain,Fish & other seafood,01,-
17,0113,011,5,"Ikan hidup, segar, sejuk & beku","Fish, live, fresh, chilled or frozen",01,01131
18,0113,011,5,Ikan yang dikeringkan dan diasinkan,"Fish, dried and salted",01,01132
19,0113,011,5,Makanan tersedia dari ikan,Fish preparations,01,01133
20,0113,011,5,"Makanan laut lain hidup, segar, sejuk atau beku","Other seafood, live, fresh, chilled or frozen",01,01134
21,0113,011,5,"Makanan laut lain yang dikeringkan, diasinkan","Other seafood, dried, salted, in brine or smoked",01,01135
22,0113,011,5,Makanan tersedia dari makanan laut lain,Other seafood preparations,01,01136
23,0114,011,4,"Susu, produk tenusu lain & telur","Milk, other dairy products & eggs",01,-
24,0114,011,5,Susu asli & susu yang dibancuh,Raw & whole milk,01,01141
25,0114,011,5,Lain-lain susu & krim,Other milk & cream,01,01143
26,0114,011,5,Susu bukan daripada sumber haiwan,Non-animal milk,01,01144
27,0114,011,5,Keju,Cheese,01,01145
28,0114,011,5,Yogurt & produk seumpamanya,Yoghurt & similar products,01,01146
29,0114,011,5,Telur,Eggs,01,01148
30,0115,011,4,Minyak & lemak,Oils & fats,01,-
31,0115,011,5,Minyak sayuran,Vegetable oils,01,01151
32,0115,011,5,Mentega & lemak & minyak lain yang dihasilkan daripada susu,Butter & other fats & oils derived from milk,01,01152
33,0115,011,5,Marjerin & produk seumpamanya,Margarine & similar preparations,01,01153
34,0116,011,4,Buah-buahan & kacang,Fruits & nuts,01,-
35,0116,011,5,"Kurma, buah tin & buah-buahan tropika, segar","Dates, figs & tropical fruits, fresh",01,01161
36,0116,011,5,Buah-buahan sitrus,"Citrus fruits, fresh",01,01162
37,0116,011,5,Buah-buahan stone & pome,"Stone fruits & pome fruits, fresh",01,01163
38,0116,011,5,Buah-buahan segar lain,"Other fruits, fresh",01,01165
39,0116,011,5,Kacang dengan kulit atau telah dikupas,"Nuts, in shell or shelled",01,01168
40,0116,011,5,Makanan tersedia dari buah-buahan & kacang,Fruit & nuts ground & other preparations,01,01169
41,0117,011,4,Sayur-sayuran,Vegetables,01,-
42,0117,011,5,"Sayur-sayuran berdaun atau berbatang, segar atau disejukkan","Leafy or stem vegetables, fresh or chilled",01,01171
43,0117,011,5,"Sayur-sayuran berbuah, segar atau disejukkan","Fruit-bearing vegetables, fresh or chilled",01,01172
44,0117,011,5,"Sayur-sayuran kekacang hijau, segar atau disejukkan","Green leguminous vegetables, fresh or chilled",01,01173
45,0117,011,5,"Sayur-sayuran lain, segar atau disejukkan","Other vegetables, fresh or chilled",01,01174
46,0117,011,5,"Ubi, plantain & pisang sayuran","Tubers, plantains & cooking bananas",01,01175
47,0117,011,5,"Makanan tersedia dari sayur-sayuran, ubi, plantain, pisang sayuran & kekacang","Vegetables, tubers, plantains, cooking bananas & pulses ground & other preparations",01,01179
48,0118,011,4,"Gula, manisan & pencuci mulut","Sugar, confectionery & desserts",01,-
49,0118,011,5,Gula tebu & gula bit,Cane & beet sugar,01,01181
50,0118,011,5,Lain-lain gula & pengganti gula,Other sugar & sugar substitutes,01,01182
51,0118,011,5,Jem dan madu,Jams and honey,01,01183
52,0118,011,5,Mentega kacang,Nut butter,01,01184
53,0118,011,5,"Coklat, koko & produk makanan berasaskan koko","Chocolate, cocoa, & cocoa-based food products",01,01185
54,0118,011,5,"Ais, aiskrim & sorbet","Ice, ice cream & sorbet",01,01186
55,0118,011,5,Lain-lain manisan gula & pencuci mulut t.t.t.l.,Other sugar confectionery & desserts n.e.c.,01,01189
56,0119,011,4,Makanan sedia dimakan & produk makanan lain t.t.t.l.,Ready-made food & other food products n.e.c.,01,-
57,0119,011,5,Makanan yang sedia dimakan,Ready-made food,01,01191
58,0119,011,5,Makanan bayi,Baby food,01,01192
59,0119,011,5,"Garam, bahan perasa & sos","Salt, condiments & sauces",01,01193
60,0119,011,5,Rempah ratus,Spices,01,01194
61,0119,011,5,Produk makanan lain t.t.t.l.,Other food products n.e.c.,01,01199
62,-,012,3,Minuman bukan alkohol,Non-alcoholic beverages,01,-
63,0121,012,4,Jus buah-buahan & sayur-sayuran,Fruit & vegetable juices,01,-
64,0121,012,5,Jus buah-buahan & sayur-sayuran,Fruit & vegetable juices,01,01210
65,0122,012,4,Kopi & pengganti kopi,Coffee & coffee substitutes,01,-
66,0122,012,5,Kopi & pengganti kopi,Coffee & coffee substitutes,01,01220
67,0123,012,4,Teh,Tea,01,-
68,0123,012,5,"Teh, mate' & produk tumbuhan lain untuk seduhan","Tea, maté & other plant products for infusion",01,01230
69,0124,012,4,Minuman koko,Cocoa drinks,01,-
70,0124,012,5,Minuman koko,Cocoa drinks,01,01240
71,0125,012,4,Air,Water,01,-
72,0125,012,5,Air,Water,01,01250
73,0126,012,4,Minuman ringan,Soft drinks,01,-
74,0126,012,5,Minuman ringan,Soft drinks,01,01260
75,0129,012,4,Minuman tidak beralkohol lain,Other non-alcoholic beverages,01,-
76,0129,012,5,Minuman tidak beralkohol lain,Other non-alcoholic beverages,01,01290
77,-,-,2,Minuman Alkohol & Tembakau,Alcoholic Beverages & Tobacco,02,-
78,-,021,3,Minuman keras/alkohol,Alcoholic beverages,02,-
