"Trading Date","Highest Rate","Lowest Rate"
"04 Jan 2021","4.0150","3.9950"
"05 Jan 2021","4.0180","4.0045"
"06 Jan 2021","4.0205","4.0065"
"07 Jan 2021","4.0400","4.0100"
"08 Jan 2021","4.0480","4.0300"
"11 Jan 2021","4.0520","4.0400"
"12 Jan 2021","4.0770","4.0550"
"13 Jan 2021","4.0480","4.0370"
"14 Jan 2021","4.0460","4.0345"
"15 Jan 2021","4.0390","4.0310"
"18 Jan 2021","4.0525","4.0440"
"19 Jan 2021","4.0550","4.0460"
"20 Jan 2021","4.0485","4.0420"
"21 Jan 2021","4.0450","4.0290"
"22 Jan 2021","4.0290","4.0450"
"25 Jan 2021","4.0490","4.0415"
"26 Jan 2021","4.0500","4.0420"
"27 Jan 2021","4.0470","4.0380"
"29 Jan 2021","4.0560","4.0360"
"02 Feb 2021","4.0510","4.0408"
"03 Feb 2021","4.0530","4.0440"
"04 Feb 2021","4.0610","4.0455"
"05 Feb 2021","4.0760","4.0600"
"08 Feb 2021","4.0680","4.0590"
"09 Feb 2021","4.0630","4.0460"
"10 Feb 2021","4.0500","4.0365"
"11 Feb 2021","4.0500","4.0400"
"15 Feb 2021","4.0450","4.0330"
"16 Feb 2021","4.0340","4.0250"
"17 Feb 2021","4.0475","4.0335"
"18 Feb 2021","4.0470","4.0330"
"19 Feb 2021","4.0380","4.0460"
"22 Feb 2021","4.0460","4.0370"
"23 Feb 2021","4.0470","4.0380"
"24 Feb 2021","4.0430","4.0380"
"25 Feb 2021","4.0430","4.0370"
"26 Feb 2021","4.0650","4.0455"
"01 Mar 2021","4.0580","4.0505"
"02 Mar 2021","4.0615","4.0480"
"03 Mar 2021","4.0540","4.0470"
"04 Mar 2021","4.0580","4.0510"
"05 Mar 2021","4.0775","4.0620"
"08 Mar 2021","4.1100","4.0780"
"09 Mar 2021","4.1380","4.1150"
"10 Mar 2021","4.1400","4.1180"
"11 Mar 2021","4.1225","4.1065"
"12 Mar 2021","4.1195","4.1050"
"15 Mar 2021","4.1230","4.1090"
"16 Mar 2021","4.1160","4.1100"
"17 Mar 2021","4.1220","4.1130"
"18 Mar 2021","4.1000","4.1145"
"19 Mar 2021","4.1280","4.1040"
"22 Mar 2021","4.1170","4.1070"
"23 Mar 2021","4.1280","4.1080"
"24 Mar 2021","4.1360","4.1250"
"25 Mar 2021","4.1480","4.1350"
"26 Mar 2021","4.1540","4.1400"
"29 Mar 2021","4.1520","4.1400"
"30 Mar 2021","4.1530","4.1390"
"31 Mar 2021","4.1595","4.1430"
"01 Apr 2021","4.1510","4.1400"
"02 Apr 2021","4.1430","4.1370"
"05 Apr 2021","4.1390","4.1430"
"06 Apr 2021","4.1360","4.1270"
"07 Apr 2021","4.1350","4.1220"
"08 Apr 2021","4.1430","4.1330"
"09 Apr 2021","4.1405","4.1300"
"12 Apr 2021","4.1390","4.1310"
"13 Apr 2021","4.1370","4.1315"
"14 Apr 2021","4.1320","4.1270"
"15 Apr 2021","4.1295","4.1220"
"16 Apr 2021","4.1320","4.1250"
"19 Apr 2021","4.1320","4.1230"
"20 Apr 2021","4.1215","4.1120"
"21 Apr 2021","4.1230","4.1155"
"22 Apr 2021","4.1165","4.1065"
"23 Apr 2021","4.1150","4.1060"
