,date,ron95,ron97,diesel,ron95_skps,series_type,ron95_budi95,diesel_eastmsia,USD,index,state,division,Rate
0,2004-05-26,,,,,,,,,,,,2.7
1,2004-08-25,,,,,,,,,,,,2.7
2,2004-11-30,,,,,,,,,,,,2.7
3,2005-02-28,,,,,,,,,,,,2.7
4,2005-05-25,,,,,,,,,,,,2.7
5,2005-08-24,,,,,,,,,,,,2.7
6,2005-11-30,,,,,,,,,,,,3.0
7,2005-12-15,,,,,,,,,,,,3.0
8,2006-01-20,,,,,,,,,,,,3.0
9,2006-02-22,,,,,,,,,,,,3.25
10,2006-04-26,,,,,,,,,,,,3.5
11,2006-05-22,,,,,,,,,,,,3.5
12,2006-07-28,,,,,,,,,,,,3.5
13,2006-08-25,,,,,,,,,,,,3.5
14,2006-09-26,,,,,,,,,,,,3.5
15,2006-11-24,,,,,,,,,,,,3.5
16,2007-01-26,,,,,,,,,,,,3.5
17,2007-02-26,,,,,,,,,,,,3.5
18,2007-04-27,,,,,,,,,,,,3.5
19,2007-05-28,,,,,,,,,,,,3.5
20,2007-07-24,,,,,,,,,,,,3.5
21,2007-08-24,,,,,,,,,,,,3.5
22,2007-10-30,,,,,,,,,,,,3.5
23,2007-11-26,,,,,,,,,,,,3.5
24,2008-01-29,,,,,,,,,,,,3.5
25,2008-02-25,,,,,,,,,,,,3.5
26,2008-04-29,,,,,,,,,,,,3.5
27,2008-05-26,,,,,,,,,,,,3.5
28,2008-07-25,,,,,,,,,,,,3.5
29,2008-08-25,,,,,,,,,,,,3.5
30,2008-10-24,,,,,,,,,,,,3.5
31,2008-11-24,,,,,,,,,,,,3.25
32,2009-01-21,,,,,,,,,,,,2.5
33,2009-02-24,,,,,,,,,,,,2.0
34,2009-04-29,,,,,,,,,,,,2.0
35,2009-05-26,,,,,,,,,,,,2.0
36,2009-07-29,,,,,,,,,,,,2.0
37,2009-08-25,,,,,,,,,,,,2.0
38,2009-10-28,,,,,,,,,,,,2.0
39,2009-11-24,,,,,,,,,,,,2.0
40,2010-01-01,,,,,,,,,99.4,Johor,overall,
41,2010-01-01,,,,,,,,,99.6,Kedah,overall,
42,2010-01-01,,,,,,,,,99.1,Kelantan,overall,
43,2010-01-01,,,,,,,,,99.5,Melaka,overall,
44,2010-01-01,,,,,,,,,99.3,Negeri Sembilan,overall,
45,2010-01-01,,,,,,,,,99.4,Pahang,overall,
46,2010-01-01,,,,,,,,,99.4,Perak,overall,
47,2010-01-01,,,,,,,,,99.0,Perlis,overall,
48,2010-01-01,,,,,,,,,99.4,Pulau Pinang,overall,
49,2010-01-01,,,,,,,,,99.4,Sabah,overall,
50,2010-01-01,,,,,,,,,99.2,Sarawak,overall,
51,2010-01-01,,,,,,,,,99.3,Selangor,overall,
52,2010-01-01,,,,,,,,,99.2,Terengganu,overall,
53,2010-01-01,,,,,,,,,99.4,W.P. Kuala Lumpur,overall,
54,2010-01-01,,,,,,,,,99.4,W.P. Labuan,overall,
55,2010-01-01,,,,,,,,,99.7,W.P. Putrajaya,overall,
56,2010-01-26,,,,,,,,,,,,2.0
57,2010-02-01,,,,,,,,,99.4,Johor,overall,
58,2010-02-01,,,,,,,,,99.5,Kedah,overall,
59,2010-02-01,,,,,,,,,99.0,Kelantan,overall,
60,2010-02-01,,,,,,,,,99.5,Melaka,overall,
61,2010-02-01,,,,,,,,,99.3,Negeri Sembilan,overall,
62,2010-02-01,,,,,,,,,99.3,Pahang,overall,
63,2010-02-01,,,,,,,,,99.4,Perak,overall,
64,2010-02-01,,,,,,,,,98.9,Perlis,overall,
65,2010-02-01,,,,,,,,,99.5,Pulau Pinang,overall,
66,2010-02-01,,,,,,,,,99.7,Sabah,overall,
67,2010-02-01,,,,,,,,,99.4,Sarawak,overall,
