Date,USD
30/01/2026,3.941
29/01/2026,3.933
28/01/2026,3.9205
27/01/2026,3.9575
26/01/2026,3.9695
23/01/2026,4.013
22/01/2026,4.045
21/01/2026,4.056
20/01/2026,4.0525
19/01/2026,4.054
16/01/2026,4.0605
15/01/2026,4.049
14/01/2026,4.0545
13/01/2026,4.056
12/1/2026,4.0665
9/1/2026,4.064
8/1/2026,4.0625
7/1/2026,4.0505
6/1/2026,4.0555
5/1/2026,4.076
2/1/2026,4.0575
31/12/2025,4.057
30/12/2025,4.0535
29/12/2025,4.054
26/12/2025,4.037
24/12/2025,4.058
23/12/2025,4.0675
22/12/2025,4.079
19/12/2025,4.0835
18/12/2025,4.0885
17/12/2025,4.0855
16/12/2025,4.085
15/12/2025,4.0895
12/12/2025,4.101
11/12/2025,4.107
10/12/2025,4.121
9/12/2025,4.118
8/12/2025,4.108
5/12/2025,4.115
4/12/2025,4.1175
3/12/2025,4.1295
2/12/2025,4.1325
1/12/2025,4.134
28/11/2025,4.129
27/11/2025,4.131
26/11/2025,4.1325
25/11/2025,4.132
24/11/2025,4.1415
21/11/2025,4.144
20/11/2025,4.1645
19/11/2025,4.148
18/11/2025,4.1765
17/11/2025,4.1505
14/11/2025,4.1325
13/11/2025,4.131
12/11/2025,4.1305
11/11/2025,4.1515
10/11/2025,4.167
7/11/2025,4.176
6/11/2025,4.1825
5/11/2025,4.1945
4/11/2025,4.2045
3/11/2025,4.1975
31/10/2025,4.192
30/10/2025,4.1975
29/10/2025,4.1905
28/10/2025,4.201
27/10/2025,4.214
24/10/2025,4.2265
23/10/2025,4.23
22/10/2025,4.2295
21/10/2025,4.226
17/10/2025,4.226
16/10/2025,4.2275
15/10/2025,4.2245
14/10/2025,4.2255
13/10/2025,4.224
10/10/2025,4.2215
9/10/2025,4.2145
8/10/2025,4.2195
7/10/2025,4.214
6/10/2025,4.214
3/10/2025,4.2145
2/10/2025,4.2055
1/10/2025,4.213
30/09/2025,4.215
29/09/2025,4.2115
26/09/2025,4.22
25/09/2025,4.2125
24/09/2025,4.2005
23/09/2025,4.1975
22/09/2025,4.21
19/09/2025,4.206
18/09/2025,4.1955
17/09/2025,4.1915
12/9/2025,4.2105
11/9/2025,4.2205
10/9/2025,4.2125
9/9/2025,4.2105
8/9/2025,4.222
4/9/2025,4.229
3/9/2025,4.2305
2/9/2025,4.231
29/08/2025,4.218
28/08/2025,4.2275
27/08/2025,4.2275
26/08/2025,4.215
25/08/2025,4.2
22/08/2025,4.2305
21/08/2025,4.2225
20/08/2025,4.226
19/08/2025,4.226
18/08/2025,4.2235
15/08/2025,4.218
14/08/2025,4.1975
13/08/2025,4.222
12/8/2025,4.233
11/8/2025,4.2355
8/8/2025,4.2355
7/8/2025,4.2295
6/8/2025,4.2275
5/8/2025,4.2305
4/8/2025,4.2355
1/8/2025,4.2775
31/07/2025,4.254
30/07/2025,4.235
29/07/2025,4.2425
28/07/2025,4.2205
25/07/2025,4.219
24/07/2025,4.217
23/07/2025,4.2255
22/07/2025,4.232
21/07/2025,4.2395
18/07/2025,4.245
17/07/2025,4.247
16/07/2025,4.252
15/07/2025,4.254
14/07/2025,4.255
11/7/2025,4.256
10/7/2025,4.2525
9/7/2025,4.254
8/7/2025,4.2385
7/7/2025,4.234
4/7/2025,4.229
3/7/2025,4.224
2/7/2025,4.2165
1/7/2025,4.1925
30/06/2025,4.217
26/06/2025,4.225
25/06/2025,4.2385
24/06/2025,4.254
23/06/2025,4.281
20/06/2025,4.254
19/06/2025,4.2595
18/06/2025,4.248
17/06/2025,4.2395
16/06/2025,4.246
13/06/2025,4.2435
12/6/2025,4.2255
11/6/2025,4.2405
10/6/2025,4.2345
9/6/2025,4.2385
6/6/2025,4.228
5/6/2025,4.2425
4/6/2025,4.25
3/6/2025,4.25
30/05/2025,4.239
29/05/2025,4.241
28/05/2025,4.25
27/05/2025,4.21
26/05/2025,4.2065
23/05/2025,4.2535
22/05/2025,4.259
21/05/2025,4.271
20/05/2025,4.285
19/05/2025,4.311
16/05/2025,4.2675
15/05/2025,4.286
14/05/2025,4.3145
13/05/2025,4.3275
9/5/2025,4.3185
8/5/2025,4.267
7/5/2025,4.2355
6/5/2025,4.232
5/5/2025,4.2
2/5/2025,4.296
30/04/2025,4.3175
29/04/2025,4.334
28/04/2025,4.374
25/04/2025,4.374
24/04/2025,4.3905
23/04/2025,4.408
22/04/2025,4.378
21/04/2025,4.386
18/04/2025,4.409
17/04/2025,4.412
16/04/2025,4.416
15/04/2025,4.4115
14/04/2025,4.423
11/4/2025,4.438
10/4/2025,4.4765
9/4/2025,4.502
8/4/2025,4.4835
7/4/2025,4.4675
4/4/2025,4.418
3/4/2025,4.465
2/4/2025,4.4475
28/03/2025,4.433
27/03/2025,4.432
26/03/2025,4.4245
25/03/2025,4.4395
24/03/2025,4.4335
21/03/2025,4.423
20/03/2025,4.426
19/03/2025,4.4305
17/03/2025,4.4455
14/03/2025,4.445
13/03/2025,4.428
12/3/2025,4.433
11/3/2025,4.4325
10/3/2025,4.419
7/3/2025,4.4295
6/3/2025,4.4275
5/3/2025,4.4475
4/3/2025,4.468
3/3/2025,4.4635
28/02/2025,4.4655
27/02/2025,4.446
26/02/2025,4.4225
25/02/2025,4.4135
24/02/2025,4.3985
21/02/2025,4.4175
20/02/2025,4.4275
19/02/2025,4.442
18/02/2025,4.446
17/02/2025,4.4295
14/02/2025,4.4425
13/02/2025,4.4605
12/2/2025,4.465
10/2/2025,4.468
7/2/2025,4.441
6/2/2025,4.4275
5/2/2025,4.43
4/2/2025,4.457
3/2/2025,4.495
31/01/2025,4.42
28/01/2025,4.403
27/01/2025,4.3725
24/01/2025,4.415
23/01/2025,4.444
22/01/2025,4.447
21/01/2025,4.4745
20/01/2025,4.5005
17/01/2025,4.5015
16/01/2025,4.4975
15/01/2025,4.506
14/01/2025,4.5015
13/01/2025,4.509
10/1/2025,4.4935
9/1/2025,4.4995
8/1/2025,4.4995
7/1/2025,4.51
6/1/2025,4.513
3/1/2025,4.495
2/1/2025,4.4775
31/12/2024,4.47
30/12/2024,4.469
27/12/2024,4.477
26/12/2024,4.4685
24/12/2024,4.489
23/12/2024,4.489
20/12/2024,4.5125
