"Date","Rate"
"22/01/2026","2.75"
"06/11/2025","2.75"
"04/09/2025","2.75"
"09/07/2025","2.75"
"08/05/2025","3.00"
"06/03/2025","3.00"
"22/01/2025","3.00"
"06/11/2024","3.00"
"05/09/2024","3.00"
"11/07/2024","3.00"
"09/05/2024","3.00"
"09/05/2024","3.00"
"07/03/2024","3.00"
"07/03/2024","3.00"
"24/01/2024","3.00"
"02/11/2023","3.00"
"07/09/2023","3.00"
"06/07/2023","3.00"
"03/05/2023","3.00"
"09/03/2023","2.75"
"19/01/2023","2.75"
"03/11/2022","2.75"
"08/09/2022","2.50"
"06/07/2022","2.25"
"11/05/2022","2.00"
"03/03/2022","1.75"
"20/01/2022","1.75"
"03/11/2021","1.75"
"09/09/2021","1.75"
"08/07/2021","1.75"
"06/05/2021","1.75"
"04/03/2021","1.75"
"20/01/2021","1.75"
"03/11/2020","1.75"
"10/09/2020","1.75"
"07/07/2020","1.75"
"05/05/2020","2.00"
"03/03/2020","2.50"
"22/01/2020","2.75"
"05/11/2019","3.00"
"12/09/2019","3.00"
"09/07/2019","3.00"
"07/05/2019","3.00"
"05/03/2019","3.25"
"24/01/2019","3.25"
"08/11/2018","3.25"
"05/09/2018","3.25"
"11/07/2018","3.25"
"10/05/2018","3.25"
"07/03/2018","3.25"
"25/01/2018","3.25"
"09/11/2017","3.00"
"07/09/2017","3.00"
"13/07/2017","3.00"
"12/05/2017","3.00"
"02/03/2017","3.00"
"19/01/2017","3.00"
"23/11/2016","3.00"
"07/09/2016","3.00"
"13/07/2016","3.00"
"19/05/2016","3.25"
"09/03/2016","3.25"
"21/01/2016","3.25"
"05/11/2015","3.25"
"11/09/2015","3.25"
"09/07/2015","3.25"
"07/05/2015","3.25"
"05/03/2015","3.25"
"28/01/2015","3.25"
"06/11/2014","3.25"
"18/09/2014","3.25"
"10/07/2014","3.25"
"08/05/2014","3.00"
"06/03/2014","3.00"
"29/01/2014","3.00"
"07/11/2013","3.00"
"05/09/2013","3.00"
"11/07/2013","3.00"
"09/05/2013","3.00"
"07/03/2013","3.00"
"31/01/2013","3.00"
"08/11/2012","3.00"
"06/09/2012","3.00"
"05/07/2012","3.00"
"11/05/2012","3.00"
"09/03/2012","3.00"
"31/01/2012","3.00"
"11/11/2011","3.00"
"08/09/2011","3.00"
"07/07/2011","3.00"
"05/05/2011","3.00"
"11/03/2011","2.75"
"27/01/2011","2.75"
"12/11/2010","2.75"
"02/09/2010","2.75"
"08/07/2010","2.75"
"13/05/2010","2.50"
"04/03/2010","2.25"
"26/01/2010","2.00"
"24/11/2009","2.00"
"28/10/2009","2.00"
"25/08/2009","2.00"
"29/07/2009","2.00"
"26/05/2009","2.00"
"29/04/2009","2.00"
"24/02/2009","2.00"
"21/01/2009","2.50"
"24/11/2008","3.25"
"24/10/2008","3.50"
"25/08/2008","3.50"
"25/07/2008","3.50"
"26/05/2008","3.50"
"29/04/2008","3.50"
"25/02/2008","3.50"
"29/01/2008","3.50"
"26/11/2007","3.50"
"30/10/2007","3.50"
"24/08/2007","3.50"
"24/07/2007","3.50"
"28/05/2007","3.50"
"27/04/2007","3.50"
"26/02/2007","3.50"
"26/01/2007","3.50"
"24/11/2006","3.50"
"26/09/2006","3.50"
"25/08/2006","3.50"
"28/07/2006","3.50"
"22/05/2006","3.50"
"26/04/2006","3.50"
"22/02/2006","3.25"
"20/01/2006","3.00"
"15/12/2005","3.00"
"30/11/2005","3.00"
"24/08/2005","2.70"
"25/05/2005","2.70"
"28/02/2005","2.70"
"30/11/2004","2.70"
"25/08/2004","2.70"
"26/05/2004","2.70"
